"","planner.setup","domain","planner","time","problem","re_opened","expanded_nodes","duplicates","dead_ends","evaluated_states","solved","heuristic_time","plan_length","planning_time","priority_queue_size","lp_invocations","plan_cost","duration","configuration"
"94","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",0,0,0,0,0,FALSE,0,NA,0.385,0,0,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"96","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",0,0,0,0,0,FALSE,0,NA,0.38,0,0,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"97","hmnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/instances/instance_01.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/instances/instance_01.pddl"
"102","hmnp_opt","../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/instance_1_1.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/instance_1_1.pddl"
"105","hmnp_opt","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"108","hmnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain_nl.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/non_lin_instances/instance_1.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain_nl.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/non_lin_instances/instance_1.pddl"
"109","hmnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"110","hmnp_sat","../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/instance_1_1.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_sat domain ../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/instance_1_1.pddl"
"117","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/instances/instance_01.pddl",0,0,0,0,0,FALSE,0,NA,0.714,0,0,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/instances/instance_01.pddl"
"132","hmnp_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1",NA,NA,NA,NA,65,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1"
